"GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-Unit:10,000yuan-Region-Region-Region",GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-Region-Region-Region,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-GeneralPublicBudgetRevenue-GeneralPublicBudgetRevenue-GeneralPublicBudgetRevenue,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-TaxRevenue-TaxRevenue,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-ValueAddedTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-EnterpriseIncomeTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-IndividualIncomeTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-ResourceTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-CityMaintenanceandConstructionTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-PropertyTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-UrbanLandUseTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-LandAppreciationTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-FarmLandOccupationTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-ContractTax,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-OtherTaxRevenue,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-Non-taxRevenue-Non-taxRevenue,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-SpecialProgramReceipts,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-ChargeofAdministrativeandInstitutionalUnits,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-FinesandConfiscationRevenuePenaltyReceipts,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-Government-ownedCapitalOperationalIncome,GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-IncomefromUseofState-ownedResources(Assets),GeneralPublicBudgetRevenueofCitiesinShandongProvince(2023)-GeneralPublicBudgetRevenuebyRegion(2023)-(10000yuan)-OtherNon-taxReceipts
Region,Region,"General Public  
Budget Revenue",Tax Revenue,"Value  
Added  
Tax","Enterprise  
Income Tax","Individual  
Income Tax",Resource Tax,"City Maintenance and  
Construction Tax",Property Tax,Urban Land Use Tax,"Land  
Appreciation  
Tax","Farm Land  
Occupation  
Tax","Contract  
Tax",Other Tax Revenue,Non-tax Revenue,"Special 
Program 
Receipts","Charge of  
Administrative and  
Institutional Units","Fines and Confiscation Revenue

Penalty
Receipts","Government-owned Capital 
Operational Income",Income from Use of State-owned Resources (Assets),Other Non-tax Receipts
Region,Region,"General Public  
Budget Revenue",Tax Revenue,"Value  
Added  
Tax","Enterprise  
Income Tax","Individual  
Income Tax",Resource Tax,"City Maintenance and  
Construction Tax",Property Tax,Urban Land Use Tax,"Land  
Appreciation  
Tax","Farm Land  
Occupation  
Tax","Contract  
Tax",Other Tax Revenue,Non-tax Revenue,"Special 
Program 
Receipts","Charge of  
Administrative and  
Institutional Units","Fines and Confiscation Revenue

Penalty
Receipts","Government-owned Capital 
Operational Income",Income from Use of State-owned Resources (Assets),Other Non-tax Receipts
Region,Region,"General Public  
Budget Revenue",Tax Revenue,"Value  
Added  
Tax","Enterprise  
Income Tax","Individual  
Income Tax",Resource Tax,"City Maintenance and  
Construction Tax",Property Tax,Urban Land Use Tax,"Land  
Appreciation  
Tax","Farm Land  
Occupation  
Tax","Contract  
Tax",Other Tax Revenue,Non-tax Revenue,"Special 
Program 
Receipts","Charge of  
Administrative and  
Institutional Units","Fines and Confiscation Revenue

Penalty
Receipts","Government-owned Capital 
Operational Income",Income from Use of State-owned Resources (Assets),Other Non-tax Receipts
,,,,,,,,,,,,,,,,,,,,,
Total of the Whole Province,Total,74647750,52296633,20271498,7249410,2601683,1606038,3198399,2296102,3150874,4314154,755934,4245747,2606794,22351117,4382854,2957194,3127714,437862,10270778,1174715
Ji'nan City,Jinan,10608223,7979263,2749480,1151762,484132,62980,453729,355392,263146,1370008,70450,652208,365976,2628960,833962,360553,193160,8801,978475,254009
Qingdao City,Qingdao,13378595,10060952,3844294,1869293,805244,27674,627564,511684,304011,866135,21197,758427,425429,3317643,1171160,582878,446842,21163,878650,216950
Zibo City,Zibo,3953042,2544083,1203674,268500,108541,57182,189254,108891,154641,139792,30986,157626,124996,1408959,180913,87075,338126,0,708613,94232
Zaozhuang City,Zaozhuang,1810463,1161452,420031,114326,42202,76584,70082,44010,79475,43560,47879,165554,57749,649011,87624,86867,236934,44784,168951,23851
